Dates,Active-Count,CPU-Utilization,Total-Memory-Usage,Average-Temperature
10-08-2018 01:00,8676,15,42.22078003,34.36363636
10-08-2018 01:15,8865,16,42.21575743,34.90909091
10-08-2018 01:30,9011,17,42.21587029,34.63636364
10-08-2018 01:45,9216,18,42.21208923,33.63636364
10-08-2018 02:00,9358,18,42.20480928,33.54545455
10-08-2018 02:15,9593,18,42.1974729,33.18181818
10-08-2018 02:30,9897,20,42.19702143,33.72727273
10-08-2018 02:45,10051,20,42.1932968,34.63636364
10-08-2018 03:00,10289,21,42.17698745,35
10-08-2018 03:15,10593,23,42.17647955,35.27272727
10-08-2018 03:30,10971,21,42.168861,34.54545455
10-08-2018 03:45,11614,21,42.16293546,35.18181818
10-08-2018 04:00,12271,26,42.15243878,35.36363636
10-08-2018 04:15,13196,29,42.14781122,35.27272727
10-08-2018 04:30,13940,30,42.14611821,36.18181818
10-08-2018 04:45,14767,32,42.24324065,34.45454545
10-08-2018 05:00,15338,31,42.3274962,34.18181818
10-08-2018 05:15,15707,34,42.43942824,35.54545455
10-08-2018 05:30,15895,32,42.32292507,34.18181818
10-08-2018 05:45,16042,35,42.36288015,34.81818182
10-08-2018 06:00,16176,39,42.39572458,35.27272727
10-08-2018 06:15,16311,37,42.47565871,32.81818182
10-08-2018 06:30,16281,35,42.45776921,34
10-08-2018 06:45,16299,32,42.35201234,35.36363636
10-08-2018 07:00,16349,28,42.34868275,34.36363636
10-08-2018 07:15,16268,31,42.23293711,33.45454545
10-08-2018 07:30,16112,32,42.2573165,33
10-08-2018 07:45,16112,29,42.2267294,33.27272727
10-08-2018 08:00,16112,29,42.14078078,35.27272727
10-08-2018 08:15,16112,32,42.14913298,35.18181818
10-08-2018 08:30,15799,30,42.16183058,36.36363636
10-08-2018 08:45,15799,29,42.169562,36
10-08-2018 09:00,15799,28,42.16064547,32.81818182
10-08-2018 09:15,15799,30,42.34388588,35.27272727
10-08-2018 09:30,15986,32,42.26092826,33.36363636
10-08-2018 09:45,15986,30,42.2626777,33
10-08-2018 10:00,15995,31,42.34512742,33.36363636
10-08-2018 10:15,16043,32,42.34780371,35.54545455
10-08-2018 10:30,15946,31,42.38341343,34.36363636
10-08-2018 10:45,15880,61,42.3542936,33.09090909
10-08-2018 11:00,15927,32,42.33612192,33.81818182
10-08-2018 11:15,15823,32,42.31625722,34.09090909
10-08-2018 11:30,15715,29,42.24972178,35.36363636
10-08-2018 11:45,15493,29,42.27139236,33.09090909
10-08-2018 12:00,15168,41,42.14774592,32.90909091
10-08-2018 12:15,14565,48,42.1118867,34.27272727
10-08-2018 12:30,14156,44,42.09941484,34.81818182
10-08-2018 12:45,13794,27,42.09743966,33
10-08-2018 13:00,13616,23,42.11290251,33.45454545
10-08-2018 13:15,13401,26,42.11318468,34.09090909
10-08-2018 13:30,13269,26,42.1202389,34
10-08-2018 13:45,13099,26,42.1251904,34
10-08-2018 14:00,13040,23,42.1275042,34.09090909
10-08-2018 14:15,12886,24,42.1273349,34.90909091
10-08-2018 14:30,12763,22,42.12852002,34.54545455
10-08-2018 14:45,12598,25,42.1314546,33.54545455
10-08-2018 15:00,12471,22,42.12710916,34.90909091
10-08-2018 15:15,12323,21,42.12722203,35.90909091
10-08-2018 15:30,12203,21,42.12710916,35.63636364
10-08-2018 15:45,11988,17,42.12078852,36.09090909
10-08-2018 16:00,11785,18,42.12016775,36
10-08-2018 16:15,11613,18,42.12473892,33.81818182
10-08-2018 16:30,11451,19,42.12812498,35.63636364
10-08-2018 16:45,11191,22,42.1876067,34.72727273
10-08-2018 17:00,10903,21,42.13111599,35.63636364
10-08-2018 17:15,10504,18,42.13168034,35.63636364
10-08-2018 17:30,10228,20,42.12124,35.09090909
10-08-2018 17:45,9839,21,42.12253798,35.09090909
10-08-2018 18:00,9523,18,42.12112713,34.72727273
10-08-2018 18:15,9233,18,42.13060808,34.27272727
10-08-2018 18:30,8997,16,42.14849775,35
10-08-2018 18:45,8847,15,42.15521343,34.09090909
10-08-2018 19:00,8687,15,42.16762897,33.72727273
10-08-2018 19:15,8594,16,42.18027024,33.54545455
10-08-2018 19:30,8500,15,42.19291152,33.72727273
10-08-2018 19:45,8403,15,42.19505602,33.63636364
10-08-2018 20:00,8365,13,42.2001351,34
10-08-2018 20:15,8281,15,42.20549636,34.90909091
10-08-2018 20:30,8266,14,42.20566566,34.90909091
10-08-2018 20:45,8243,14,42.20730226,33.72727273
10-08-2018 21:00,8224,14,42.20702008,35.27272727
10-08-2018 21:15,8188,14,42.20718939,35.36363636
10-08-2018 21:30,8163,12,42.20724582,35.81818182
10-08-2018 21:45,8163,12,42.20527062,35.63636364
10-08-2018 22:00,8133,13,42.20814877,34.54545455
10-08-2018 22:15,8110,14,42.20809234,35.72727273
10-08-2018 22:30,8098,16,42.20673791,34.90909091
10-08-2018 22:45,8095,14,42.20841702,35.45454545
10-08-2018 23:00,8100,15,42.21767233,33.36363636
10-08-2018 23:15,8103,14,42.21919606,34.18181818
10-08-2018 23:30,8069,14,42.21846241,34.45454545
10-08-2018 23:45,8100,14,42.21846241,34.45454545
11-08-2018 00:00,8121,14,42.21846241,34.45454545
11-08-2018 00:15,8127,15,42.21885746,33.72727273
11-08-2018 00:30,8197,16,42.21868815,33
11-08-2018 00:45,8358,16,42.21823667,33.54545455
11-08-2018 01:00,8537,17,42.21784163,34.09090909
11-08-2018 01:15,8689,15,42.21400406,35.09090909
11-08-2018 01:30,8854,17,42.21377833,35.27272727
11-08-2018 01:45,9047,17,42.20819128,34.27272727
11-08-2018 02:00,9261,18,42.20316859,35.36363636
11-08-2018 02:15,9425,17,42.20266067,35.36363636
11-08-2018 02:30,9626,17,42.1945905,35.45454545
11-08-2018 02:45,9831,17,42.19538059,35.90909091
11-08-2018 03:00,10051,19,42.19419546,33.45454545
11-08-2018 03:15,10303,18,42.19425189,35.45454545
11-08-2018 03:30,10640,20,42.19086581,34.81818182
11-08-2018 03:45,11097,23,42.16936415,35.54545455
11-08-2018 04:00,11647,21,42.16496224,34.72727273
11-08-2018 04:15,12210,22,42.16033459,34.63636364
11-08-2018 04:30,12687,26,42.15644059,34.81818182
11-08-2018 04:45,13173,29,42.1501199,34.72727273
11-08-2018 05:00,13522,26,42.15339311,35.09090909
11-08-2018 05:15,13780,62,42.15527925,36.27272727
11-08-2018 05:30,13966,43,42.32097185,34
11-08-2018 05:45,14053,42,42.41836122,34.36363636
11-08-2018 06:00,14208,50,42.14380525,35.36363636
11-08-2018 06:15,14323,27,42.21389744,35.09090909
11-08-2018 06:30,14357,28,42.20889855,33.72727273
11-08-2018 06:45,14329,28,42.13547666,35.09090909
11-08-2018 07:00,14117,26,42.23265768,33.63636364
11-08-2018 07:15,14086,24,42.23525368,35
11-08-2018 07:30,14017,26,42.13310639,34.90909091
11-08-2018 07:45,13848,27,42.12960742,35.54545455
11-08-2018 08:00,13752,23,42.11826399,34.81818182
11-08-2018 08:15,13594,27,42.11420067,35.18181818
11-08-2018 08:30,13795,25,42.20889855,34.18181818
11-08-2018 08:45,13720,29,42.10545325,35.18181818
11-08-2018 09:00,13630,22,42.10043054,35.72727273
11-08-2018 09:15,13469,23,42.10043054,35.54545455
11-08-2018 09:30,13563,21,42.11120962,35.90909091
11-08-2018 09:45,13605,21,42.1163452,33
11-08-2018 10:00,13521,22,42.19371755,35.36363636
11-08-2018 10:15,13509,21,42.18773544,34.18181818
11-08-2018 10:30,13543,25,42.24479119,36.09090909
11-08-2018 10:45,13569,22,42.2830541,34.36363636
11-08-2018 11:00,13543,22,42.21025299,33.27272727
11-08-2018 11:15,13555,23,42.36815804,35.72727273
11-08-2018 11:30,13495,23,42.27080771,34.27272727
11-08-2018 11:45,13461,23,42.16516145,34.09090909
11-08-2018 12:00,13277,22,42.16482284,35.09090909
11-08-2018 12:15,13277,21,42.07351106,36.90909091
11-08-2018 12:30,13070,23,42.07068931,34.18181818
11-08-2018 12:45,12855,23,42.06882696,34.45454545
11-08-2018 13:00,12722,21,42.06363494,35.18181818
11-08-2018 13:15,12605,19,42.06640026,34.90909091
11-08-2018 13:30,12576,21,42.06927844,35.36363636
11-08-2018 13:45,12502,23,42.07218037,35.63636364
11-08-2018 14:00,12474,21,42.07295531,34.45454545
11-08-2018 14:15,12413,22,42.13232547,33.72727273
11-08-2018 14:30,12352,21,42.07509986,33.27272727
11-08-2018 14:45,12245,21,42.07668006,33
11-08-2018 15:00,12101,20,42.07803451,35.18181818
11-08-2018 15:15,11990,20,42.08412954,35.27272727
11-08-2018 15:30,11882,20,42.1427096,36
11-08-2018 15:45,11704,18,42.08317014,35.81818182
11-08-2018 16:00,11576,19,42.08232361,32.81818182
11-08-2018 16:15,11474,18,42.08480677,35.45454545
11-08-2018 16:30,11290,18,42.08113846,33.63636364
11-08-2018 16:45,11093,18,42.08029193,35.18181818
11-08-2018 17:00,10708,17,42.07075433,34.81818182
11-08-2018 17:15,10407,18,42.06353058,33.72727273
11-08-2018 17:30,10115,16,42.05664545,33.36363636
11-08-2018 17:45,9809,15,42.0537108,32.81818182
11-08-2018 18:00,9524,15,42.05929792,33
11-08-2018 18:15,9200,15,42.05918505,33.36363636
11-08-2018 18:30,8702,12,42.05816921,32.72727273
11-08-2018 18:45,8721,15,42.08649984,34.45454545
11-08-2018 19:00,8643,15,42.0985206,34.18181818
11-08-2018 19:15,8538,12,42.10021366,34.45454545
11-08-2018 19:30,8465,13,42.10839681,33.81818182
11-08-2018 19:45,8356,12,42.11590274,35.09090909
11-08-2018 20:00,8287,12,42.11590274,35.36363636
11-08-2018 20:15,8258,13,42.12397301,33.72727273
11-08-2018 20:30,8187,12,42.12848786,35
11-08-2018 20:45,8164,15,42.12837498,35.27272727
11-08-2018 21:00,8127,12,42.13960565,35.45454545
11-08-2018 21:15,8084,11,42.1427096,35.09090909
11-08-2018 21:30,8054,13,42.14344327,32.81818182
11-08-2018 21:45,7851,12,42.13949278,35.54545455
11-08-2018 22:00,7828,12,42.13819476,34.54545455
11-08-2018 22:15,7780,12,42.13988783,35.09090909
11-08-2018 22:30,7792,14,42.14039575,34.18181818
11-08-2018 22:45,7699,13,42.13802546,33.72727273
11-08-2018 23:00,7679,14,42.14214525,33.36363636
11-08-2018 23:15,7643,14,42.14987691,35.09090909
11-08-2018 23:30,7747,14,42.15010266,35
11-08-2018 23:45,7753,15,42.14987691,35
12-08-2018 00:00,7768,17,42.14891751,33.90909091
12-08-2018 00:15,7792,14,42.14671653,35.09090909
12-08-2018 00:30,7854,15,42.14745019,34.90909091
12-08-2018 00:45,7916,14,42.14745019,35.18181818
12-08-2018 01:00,8124,15,42.14654722,35.36363636
12-08-2018 01:15,8225,13,42.14660365,36
12-08-2018 01:30,8365,15,42.13757397,33.63636364
12-08-2018 01:45,8510,17,42.13785615,35.27272727
12-08-2018 02:00,8660,17,42.13661457,33.09090909
12-08-2018 02:15,8844,17,42.13616309,35.18181818
